Fabric Code,Name,Safety Lock,Min Alert Qty,Delivery Days,Per Yard Retail Price
DS-MSTK1-FB,Blue Water Silk Fabric,10,1,1,2.22
SS-SBN11-FB,Brown Gold Thai Silk Fabric,20,2,1,3.22
SS-SBR13-FB,Bold Red Thai Silk Fabric,45,3,1,4.22
SS-SCB01-FB,Chocolate Brown Thai Silk Fabric,30,4,2,5.22
SS-SCY22-FB,Cayenne Thai Silk Fabric,40,5,2,6.22
SS-SG05-FB,Sage Green Thai Silk Fabric,50,6,2,3.33
SS-SG17-FB,Silver Grey Thai Silk Fabric,60,7,2,6.66
SS-SGD21-FB,Gold Dust Thai Silk Fabric,70,8,2,9.99
SS-SMB19-FB,Midnight Black Thai Silk Fabric,80,9,2,1.45
SS-SMR04-FB,Merlot Thai Silk Fabric,0,0,0,0
SS-SPW28-FB,Pearl White Thai Silk Fabric,0,0,0,0
SS-SSB02-FB,Sea Blue Thai Silk Fabric,0,0,0,0
SS-STG16-FB,Taupe Gold Thai Silk Fabric,0,0,0,0
